id,distributor,url,title,developer,package_name,title_Xpath
			',,,/html/body/div/div/div[1]/article/header/div/h3
48,Google Play,https://play.google.com/store/apps/details?id=com.google.android.apps.youtube.music.pwa,YouTube Music for Chromebook,Google LLC,com.google.android.apps.youtube.music.pwa,/html/body/div/div[4]/c-wiz/div/div[2]/div/div/main/c-wiz[1]/c-wiz[1]/div/div[2]/div/div[1]/c-wiz[1]/h1/span
49,Google Play,https://play.google.com/store/apps/details?id=com.google.android.youtube.googletv,YouTube for Google TV,Google LLC,com.google.android.youtube.googletv,/html/body/div/div[4]/c-wiz/div/div[2]/div/div/main/c-wiz[1]/c-wiz[1]/div/div[2]/div/div[1]/c-wiz[1]/h1/span
50,F-Droid,https://f-droid.org/en/packages/tn.creativeteam.newyoutubelistingapp/,'Youtube Video Listing App (By The Creative Team)
			','MOHAMED BELHASSEN
				
			',,/html/body/div/div/div[1]/article/header/div/h3
51,F-Droid,https://f-droid.org/en/packages/io.gitlab.mudassir.youtubecacher/,'YouTube Cacher
			',,,/html/body/div/div/div[1]/article/header/div/h3
52,UpToDown,https://appybuilder-mohammaddinmugheri-youtubedownload.en.uptodown.com/android,YouTube Downloader,Muhammad Din,youtube.downloader55,/html/body/div/div[2]/div[2]/h1
53,UpToDown,https://youtube-and-movie-downloader.en.uptodown.com/android,Youtube & Movie Downloader,Mirchiwap,video.mw,/html/body/div/div[2]/div[2]/h1
54,UpToDown,https://hacioglu-youtubevideodownloader.en.uptodown.com/android,YouTube Video Downloader,serhathacioglu,com.hacioglu.youtubevideodownloader,/html/body/div/div[2]/div[2]/h1
55,UpToDown,https://instube-youtube-downloader.en.uptodown.com/android,InsTube YouTube Downloader,InsTube,com.instube.android,/html/body/div/div[2]/div[2]/h1
56,UpToDown,https://youtube-mp3-and-mp4-downloader.en.uptodown.com/android,YouTube MP3 / MP4 Downloader / Convertor,HandySofts,com.haso.umg34,/html/body/div/div[2]/div[2]/h1
57,UpToDown,https://swift-youtube-music-downloader.en.uptodown.com/android,Swift - YouTube Music Downloader,Swift Dev Team,com.nebula.swift,/html/body/div/div[2]/div[2]/h1
58,UpToDown,https://tubemate-youtube-downloader.en.uptodown.com/android,TubeMate YouTube Downloader,Devian Studio,devian.tubemate.home,/html/body/div/div[2]/div[2]/h1
59,UpToDown,https://youtube-downloader-fastest-youtube-downloader.en.uptodown.com/android,Youtube Downloader- fastest youtube downloader,Search Helper,com.app.youtubedownloader,/html/body/div/div[2]/div[2]/h1
60,UpToDown,https://youtube-music.en.uptodown.com/android,YouTube Music,Google LLC,com.google.android.apps.youtube.music,/html/body/div/div[2]/div[2]/h1
61,UpToDown,https://youtube-for-android-tv.en.uptodown.com/android,YouTube for Android TV,Google LLC,com.google.android.youtube.tv,/html/body/div/div[2]/div[2]/h1
62,UpToDown,https://google-inc-youtube.en.uptodown.com/android,YouTube for Google TV,Google LLC,com.google.android.youtube.googletv,/html/body/div/div[2]/div[2]/h1
63,UpToDown,https://youtube.en.uptodown.com/android,Youtube,Google LLC,com.google.android.youtube,/html/body/div/div[2]/div[2]/h1
64,UpToDown,https://youtube-downloader-for-android.en.uptodown.com/android,YouTube Downloader for Android,Samuele Rini,dentex.youtube.downloader,/html/body/div/div[2]/div[2]/h1
